Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
742,Veterinary Services,Veterinary Services,Veterinary Services,Yes,"'742':{'combined description':'Veterinary Services', 'USDA description':'Veterinary Services','IRS Description':'Veterinary Services', 'reportable':'Yes'},"
763,Agricultural Co-operatives,Agricultural Co-operatives,Agricultural Cooperative,Yes,"'763':{'combined description':'Agricultural Co-operatives', 'USDA description':'Agricultural Co-operatives','IRS Description':'Agricultural Cooperative', 'reportable':'Yes'},"
780,"Horticultural Services, Landscaping Services",Horticultural Services,Landscaping Services,Yes,"'780':{'combined description':'Horticultural Services, Landscaping Services', 'USDA description':'Horticultural Services','IRS Description':'Landscaping Services', 'reportable':'Yes'},"
1520,General Contractors-Residential and Commercial,General Contractors-Residential and Commercial,General Contractors,Yes,"'1520':{'combined description':'General Contractors-Residential and Commercial', 'USDA description':'General Contractors-Residential and Commercial','IRS Description':'General Contractors', 'reportable':'Yes'},"
1711,"Air Conditioning Contractors & Sales and Installation, Heating Contractors & Sales, Service, Installation",Air Conditioning Contractors & Sales and Installation,"Heating, Plumbing, A/C",Yes,"'1711':{'combined description':'Air Conditioning Contractors & Sales and Installation, Heating Contractors & Sales, Service, Installation', 'USDA description':'Air Conditioning Contractors & Sales and Installation','IRS Description':'Heating, Plumbing, A/C', 'reportable':'Yes'},"
1731,Electrical Contractors,Electrical Contractors,Electrical Contractors,Yes,"'1731':{'combined description':'Electrical Contractors', 'USDA description':'Electrical Contractors','IRS Description':'Electrical Contractors', 'reportable':'Yes'},"
1740,"Insulation & Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Insulation & Contractors,"Masonry, Stonework, and Plaster",Yes,"'1740':{'combined description':'Insulation & Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors', 'USDA description':'Insulation & Contractors','IRS Description':'Masonry, Stonework, and Plaster', 'reportable':'Yes'},"
1750,Carpentry Contractors,Carpentry Contractors,Carpentry Contractors,Yes,"'1750':{'combined description':'Carpentry Contractors', 'USDA description':'Carpentry Contractors','IRS Description':'Carpentry Contractors', 'reportable':'Yes'},"
1761,"Roofing & Contractors, Sheet Metal Work & Contractors, Siding & Contractors",Roofing - Contractors,"Roofing/Siding, Sheet Metal",Yes,"'1761':{'combined description':'Roofing & Contractors, Sheet Metal Work & Contractors, Siding & Contractors', 'USDA description':'Roofing - Contractors','IRS Description':'Roofing/Siding, Sheet Metal', 'reportable':'Yes'},"
1771,Contractors & Concrete Work,Contractors & Concrete Work,Concrete Work Contractors,Yes,"'1771':{'combined description':'Contractors & Concrete Work', 'USDA description':'Contractors & Concrete Work','IRS Description':'Concrete Work Contractors', 'reportable':'Yes'},"
